MAT,MAP,SOC,pH,Clay,Duration,C_input,N_input,Planting_system,Return,Tillage,Irrigation,Topdressing,N2O
7.2,180,11.0,7.78,21.3,1,5446,338,Wheat_maize,SI,CT,CI,Yes,-0.037
7.2,180,11.0,7.78,21.3,1,5985,225,Maize,SM,NT,CI,Yes,-0.153
7.2,180,11.0,7.78,21.3,1,5619,225,Maize,SM,NT,CI,Yes,-0.13
7.2,180,11.0,7.78,21.3,1,5446,225,Maize,SI,CT,CI,Yes,-0.019
7.2,180,11.0,7.78,21.3,2,5985,338,Wheat_maize,SM,NT,CI,Yes,-0.141
7.2,180,11.0,7.78,21.3,2,5619,338,Wheat_maize,SM,NT,CI,Yes,-0.226
7.2,180,11.0,7.78,21.3,2,5446,338,Wheat_maize,SI,CT,CI,Yes,-0.062
7.2,180,11.0,7.78,21.3,2,5985,225,Maize,SM,NT,CI,Yes,-0.178
7.2,180,11.0,7.78,21.3,2,5619,225,Maize,SM,NT,CI,Yes,-0.157
7.2,180,11.0,7.78,21.3,2,5446,225,Maize,SI,CT,CI,Yes,-0.027
7.2,180,11.0,7.78,21.3,3,5985,338,Wheat_maize,SM,NT,CI,Yes,-0.159
7.2,180,11.0,7.78,21.3,3,5619,338,Wheat_maize,SM,NT,CI,Yes,-0.255
7.2,180,11.0,7.78,21.3,3,5446,338,Wheat_maize,SI,CT,CI,Yes,-0.066
7.2,180,11.0,7.78,21.3,3,5985,225,Maize,SM,NT,CI,Yes,-0.226
7.2,180,11.0,7.78,21.3,3,5619,225,Maize,SM,NT,CI,Yes,-0.187
7.2,180,11.0,7.78,21.3,3,5446,225,Maize,SI,CT,CI,Yes,-0.036
7.2,180,11.0,7.78,21.3,4,5985,338,Wheat_maize,SM,NT,CI,Yes,-0.167
7.2,180,11.0,7.78,21.3,4,5619,338,Wheat_maize,SM,NT,CI,Yes,-0.259
7.2,180,11.0,7.78,21.3,4,5446,338,Wheat_maize,SI,CT,CI,Yes,-0.099
7.2,180,11.0,7.78,21.3,4,5985,225,Maize,SM,NT,CI,Yes,-0.197
7.2,180,11.0,7.78,21.3,4,5619,225,Maize,SM,NT,CI,Yes,-0.174
7.2,180,11.0,7.78,21.3,4,5446,225,Maize,SI,CT,CI,Yes,-0.037
6.4,385,5.8,8.4,20.3,1,1496,54,Wheat,SI,CT,NI,No,0.604
6.4,385,5.8,8.4,20.3,1,1496,54,Wheat,SM,NT,NI,No,0.163
15.1,543,11.5,8.04,17.9,1,7500,410,Wheat_maize,SI,CT,OI,Yes,-0.03438072
14.0,656,13.1,8.32,25.4,2,3997,179,Wheat,SI,CT,CI,Yes,0.468
14.0,656,13.1,8.32,25.4,2,3914,179,Wheat,SI,CT,CI,Yes,0.347
14.0,656,13.1,8.32,25.4,2,3987,179,Wheat,SM,NT,CI,Yes,-0.169
8.4,572,12.6,6.38,24.9,9,3330,240,Maize,SM,NT,NI,No,1.11
14.4,566,5.5,8.67,14.9,1,4717,240,Wheat,SI,CT,CI,Yes,0.06949
14.4,566,5.5,8.67,14.9,1,4802,240,Wheat,SI,DT,CI,Yes,0.04484
14.4,566,5.5,8.67,14.9,2,3265,240,Wheat,SI,CT,CI,Yes,0.1293
14.4,566,5.5,8.67,14.9,2,3436,240,Wheat,SI,DT,CI,Yes,0.0698
12.9,519,8.7,8.8,19.3,2,5106,165,Wheat,SI,CT,CI,Yes,0.2
